"subId","estimatedValue","debtAmount","independentValuation","province","postalCode","maxBid"
"SUB-AT-2020-19R2986001218",38571.57,"",38571.57,"sevilla","41807",20000
"SUB-AT-2020-19R2986001219",683318.79,"",683318.79,"malaga","29630",348000
"SUB-AT-2020-19R2986001221",9657.75,"",141657.75,"malaga","29400",15500
"SUB-AT-2020-19R3086001229",10397.37,"",10397.37,"murcia","30166",4500
"SUB-AT-2020-19R3086001230",10397.37,"",10397.37,"murcia","30166",5000
"SUB-AT-2020-19R3386001087",5608.58,"",5608.58,"asturias","33938",2600
"SUB-AT-2020-19R3386001091",113499.94,"",113499.94,"asturias","33394",72000
"SUB-AT-2020-19R3386001092",91631.65,"",91631.65,"asturias","33212",62000
"SUB-AT-2020-19R3386001107",117577.46,"",117577.46,"asturias","33459",144000
"SUB-AT-2020-19R3586001158",110153.88,"",115930,"las_palmas","35660",50000
"SUB-AT-2020-19R3586001159",110153.88,"",115930,"las_palmas","35660",60000
"SUB-AT-2020-19R3586001160",110153.88,"",115930,"las_palmas","35660",60000
"SUB-AT-2020-19R3586001161",70531.34,"",70531.34,"las_palmas","35640",72000
"SUB-AT-2020-19R3586001162",23294.11,"",23294.11,"las_palmas","35411",6500
"SUB-AT-2020-19R3586001163",19040.85,"",19040.85,"las_palmas","35411",6500
"SUB-AT-2020-19R3586001164",119898.2,"",119898.2,"las_palmas","35100",184000
"SUB-AT-2020-19R3886001062",4864.1,"",4864.1,"santa_cruz_de_tenerife","38330",3600
"SUB-AT-2020-19R3886001071",46339.54,"",46339.54,"santa_cruz_de_tenerife","38614",24000
"SUB-AT-2020-19R3886001078",8114.91,"",8114.91,"santa_cruz_de_tenerife","38618",3000
"SUB-AT-2020-19R3886001079",8114.91,"",8114.91,"santa_cruz_de_tenerife","38618",2500
"SUB-AT-2020-19R3886001081",3533.22,"",3533.22,"santa_cruz_de_tenerife","38618",2800
"SUB-AT-2020-19R3886001082",1324.96,"",1324.96,"santa_cruz_de_tenerife","38618",1600
"SUB-AT-2020-19R3886001083",1324.96,"",1324.96,"santa_cruz_de_tenerife","38618",800
"SUB-AT-2020-19R3886001084",2649.92,"",2649.92,"santa_cruz_de_tenerife","38618",2600
"SUB-AT-2020-19R3886001085",1324.96,"",1324.96,"santa_cruz_de_tenerife","38618",700
"SUB-AT-2020-19R3886001088",2613.32,"",2613.32,"santa_cruz_de_tenerife","38840",1400
"SUB-AT-2020-19R3886001108",93040.78,"",102059.52,"santa_cruz_de_tenerife","38683",80000
"SUB-AT-2020-19R3886001109",9487.87,"",9487.87,"santa_cruz_de_tenerife","38683",6500
"SUB-AT-2020-19R3886001121",217725.15,"",217725.15,"santa_cruz_de_tenerife","38760",110000
"SUB-AT-2020-19R4186001324",60249.29,"",60249.29,"granada","18690",34000
