"subId","estimatedValue","debtAmount","independentValuation","longitude","latitude","maxBid"
"SUB-JA-2020-142346",173250,107331.94,144545.72,-8.7976937,42.2573813,148995
"SUB-JA-2020-142354",6000,7504.91,6000,-3.4157688,43.3449566,1080
"SUB-JA-2020-142367",154200,130739.38,0,-1.7830973,37.4867426,0
"SUB-JA-2020-142369",139337.14,48080.97,0,-0.6204164999999999,38.7561207,0
"SUB-JA-2020-142402",50700,39467.02,0,-1.1736994,41.9533467,26364
"SUB-JA-2020-142403",595551.13,143486.59,0,2.6735412,41.6350339,190576.32
"SUB-JA-2020-142407",218848.07,222267.06,0,-3.2483058,40.6398936,167652
"SUB-JA-2020-142416",31101.06,12234.55,31101.06,-0.5210564999999999,39.1584097,500
"SUB-JA-2020-142420",120484.92,752141.04,0,-2.7829605,36.7118306,77110.08
"SUB-JA-2020-142425",374141.52,218895.86,0,-6.3438785,36.6778206,187070.75
"SUB-JA-2020-142428",78131.57,42595.46,0,2.8053731,41.9771911,45316.27
"SUB-JA-2020-142429",54155.43,54155.43,0,-0.554149,38.2203465,14080.3
"SUB-JA-2020-142439",72783.3,44650.08,0,-0.5872689999999999,38.9392417,49492.44
"SUB-JA-2020-142440",90512.42,23582.51,90512.42,-0.8901600000000001,41.6513698,83271.5
"SUB-JA-2020-142448",61152,45157.69,0,-7.1574784,37.3158112,55000
"SUB-JA-2020-142470",288000,153786.58,0,-15.488828,28.0753654,0
"SUB-JA-2020-142478",78141.21,28887.42,0,-6.0996978,40.0361505,0
"SUB-JA-2020-142480",115000,14705.91,0,-3.5155086,43.4731555,108100
"SUB-JA-2020-142491",178758.57,73284.84,0,2.7580701,39.5572421,85804.08
"SUB-JA-2020-142497",127000,128075.37,0,-2.2089109,43.071064,42552.24
"SUB-JA-2020-142498",3781.1,10235,0,-6.6157192,42.5510621,2873.56
"SUB-JA-2020-142501",22815,11679.06,0,-6.9960925,38.9344834,1368.9
"SUB-JA-2020-142503",190300,184347.36,0,-3.7358924,40.378739,125598
"SUB-JA-2020-142516",277200,163834.17,0,2.4332249,41.5330915,160776
"SUB-JA-2020-142522",900000,603648.03,0,-3.1666708,40.6332793,0
"SUB-JA-2020-142525",29913,28100.51,0,-0.3889622,39.7491494,0
"SUB-JA-2020-142537",5072.4,2301.78,0,-6.429036,38.53959620000001,6797.15
"SUB-JA-2020-142546",43086,670.29,0,-0.098043,38.5847483,5170.32
"SUB-JA-2020-142548",146416.66,87782.43,0,-5.8301092,43.3883059,84921.57
"SUB-JA-2020-142554",109480,80877.68,0,-5.849448499999999,43.3618623,76636
"SUB-JA-2020-142556",267976,164255.78,0,-16.7411559,28.1015497,187583.2
"SUB-JA-2020-142558",224479.34,151033.96,0,-3.654719499999999,40.3966009,134687.4
"SUB-JA-2020-142565",267152.97,219311.62,0,-5.9251211,37.3360409,0
"SUB-JA-2020-142575",111512.59,107543.44,0,,,46835.25
"SUB-JA-2020-142578",85785.4,34028.21,0,-3.8553507,40.3570031,133824.6
"SUB-JA-2020-142588",125449.87,73652.99,0,-6.3013432,37.1086122,0
"SUB-JA-2020-142593",113372,64356.65,0,-2.435696,36.8270874,38546.48
"SUB-JA-2020-142599",687012.73,167568.53,0,1.2518029,41.1195195,302285.5
"SUB-JA-2020-142601",285120,108365.16,0,,,171072
"SUB-JA-2020-142602",95990,30443.1,0,-4.6502012,37.93447159999999,36476.2
"SUB-JA-2020-142604",282119.95,79314.48,0,-3.9164585,40.2734026,67708.68
"SUB-JA-2020-142609",25540.88,140000,2554088,-4.5148734,41.947822,10205.39
"SUB-JA-2020-142619",296907,81575.66,0,,,106886.52
"SUB-JA-2020-142624",9000,1074.02,0,-0.5021589,39.4076898,7560
"SUB-JA-2020-142627",85700,3647.95,85700,-0.380721,39.4845265,90000.01
"SUB-JA-2020-142630",125979,66295.91,125979,-0.3348372,39.5247603,0
"SUB-JA-2020-142638",2794.17,2817.63,0,-1.1929114,41.3349004,1400
"SUB-JA-2020-142644",176665.07,7091.69,0,-2.4900943,42.4553191,155000
"SUB-JA-2020-142650",90858,35613.5,0,-5.1640605,36.4763312,30891.72
"SUB-JA-2020-142677",460931.27,125510.74,460931.27,-3.8347864,43.4734588,165935.34
"SUB-JA-2020-142680",336142.47,106791.11,0,2.807864,41.8358025,168200
"SUB-JA-2020-142681",319000,132010.1,319000,-2.6760251,42.8545406,143700
"SUB-JA-2020-142694",59680.5,19324.21,0,-5.9488975,37.3747865,95488.8
"SUB-JA-2020-142698",87300,60000,0,-0.3889622,38.7728178,33174
"SUB-JA-2020-142708",14407.11,1229.46,0,-5.3193997,35.8888828,6000
"SUB-JA-2020-142712",79811.29,79811.29,0,-5.9885456,37.439299,78214.78
"SUB-JA-2020-142713",96000,58480.5,0,-3.4851867,43.4163417,19200
"SUB-JA-2020-142721",73248,15174.16,0,2.1278398,41.3790881,80572.8
"SUB-JA-2020-142723",530672.89,272456.34,0,-8.7494934,42.2231462,562512.85
"SUB-JA-2020-142738",145300,126001.7,0,-4.7665698,43.4207178,110428
